"state","county","month.index","avg.temp"
"AL","autauga county",1,45.1
"AL","baldwin county",1,50.1
"AL","barbour county",1,45.4
"AL","bibb county",1,43.2
"AL","blount county",1,41.6
"AL","bullock county",1,44.9
"AL","butler county",1,47
"AL","calhoun county",1,42.1
"AL","chambers county",1,42.7
"AL","cherokee county",1,41
"AL","chilton county",1,43.9
"AL","choctaw county",1,46.7
"AL","clarke county",1,47.5
"AL","clay county",1,41.7
"AL","cleburne county",1,41.7
"AL","coffee county",1,46.4
"AL","colbert county",1,38.6
"AL","conecuh county",1,47.9
"AL","coosa county",1,43.1
"AL","covington county",1,47.3
"AL","crenshaw county",1,46.1
"AL","cullman county",1,40.8
"AL","dale county",1,46.7
"AL","dallas county",1,45.7
"AL","dekalb county",1,38.9
"AL","elmore county",1,44.6
"AL","escambia county",1,48.6
"AL","etowah county",1,41.4
"AL","fayette county",1,41.8
"AL","franklin county",1,38.8
"AL","geneva county",1,47.5
"AL","greene county",1,44
"AL","hale county",1,43.6
"AL","henry county",1,46.8
"AL","houston county",1,48.2
"AL","jackson county",1,38.8
"AL","jefferson county",1,42.3
"AL","lamar county",1,42
"AL","lauderdale county",1,37.8
"AL","lawrence county",1,38.5
"AL","lee county",1,43.6
"AL","limestone county",1,37.7
"AL","lowndes county",1,46.2
"AL","macon county",1,44.4
"AL","madison county",1,38.2
"AL","marengo county",1,45.4
"AL","marion county",1,40
"AL","marshall county",1,40.4
"AL","mobile county",1,48.9
"AL","monroe county",1,48
"AL","montgomery county",1,45.8
"AL","morgan county",1,39.3
"AL","perry county",1,44.3
"AL","pickens county",1,43.1
"AL","pike county",1,45.6
"AL","randolph county",1,42.2
"AL","russell county",1,44.6
"AL","st. clair county",1,41.9
"AL","shelby county",1,42.7
"AL","sumter county",1,45
"AL","talladega county",1,42.3
"AL","tallapoosa county",1,42.8
"AL","tuscaloosa county",1,43.1
"AL","walker county",1,41.6
"AL","washington county",1,48.1
"AL","wilcox county",1,46.7
"AL","winston county",1,39.4
"AZ","apache county",1,32
"AZ","cochise county",1,45.1
"AZ","coconino county",1,35.3
