fips,state,county,lat,lng,month.index,type,avg.temp,cases,binary.case
2170,AK,matanuska-susitna borough,62.3155,-149.5728,10,poultry,28.7,1010,infected
5087,AR,madison county,36.011,-93.7246,10,poultry,57.7,56000,infected
6015,CA,del norte county,41.7431,-123.8972,10,poultry,59.2,43000,infected
6019,CA,fresno county,36.7582,-119.6493,8,poultry,76.5,68700,infected
6019,CA,fresno county,36.7582,-119.6493,9,poultry,71.5,62700,infected
6019,CA,fresno county,36.7582,-119.6493,11,poultry,44,34700,infected
6021,CA,glenn county,39.5983,-122.3921,12,poultry,44.1,32000,infected
6053,CA,monterey county,36.2171,-121.2388,10,poultry,62.5,15100,infected
6067,CA,sacramento county,38.4493,-121.3443,8,poultry,79.5,97000,infected
6073,CA,san diego county,33.0343,-116.735,11,poultry,54,150,infected
6099,CA,stanislaus county,37.5591,-120.9977,10,poultry,67.5,105900,infected
6103,CA,tehama county,40.1257,-122.234,13,poultry,43.8,23700,infected
6109,CA,tuolumne county,38.0276,-119.9548,8,poultry,70.7,260100,infected
6109,CA,tuolumne county,38.0276,-119.9548,9,poultry,65.2,30800,infected
8013,CO,boulder county,40.0925,-105.3577,10,poultry,46.6,600,infected
8059,CO,jefferson county,39.5864,-105.2505,10,poultry,48.3,50,infected
8067,CO,la plata county,37.2866,-107.8433,4,poultry,43.9,40,infected
8085,CO,montrose county,38.4022,-108.2694,4,poultry,46,58000,infected
8097,CO,pitkin county,39.2171,-106.9166,4,poultry,34.8,30,infected
8099,CO,prowers county,37.9552,-102.3934,12,poultry,30,11000,infected
8123,CO,weld county,40.5548,-104.3925,4,poultry,46.5,1366200,infected
8123,CO,weld county,40.5548,-104.3925,6,poultry,68.8,2141800,infected
8123,CO,weld county,40.5548,-104.3925,9,poultry,66.1,1150000,infected
8123,CO,weld county,40.5548,-104.3925,12,poultry,27,1530700,infected
10001,DE,kent county,39.086,-75.5686,3,poultry,46.8,147800,infected
10003,DE,new castle county,39.5768,-75.6527,2,poultry,37.4,1046900,infected
10003,DE,new castle county,39.5768,-75.6527,3,poultry,45.7,243900,infected
12011,FL,broward county,26.1523,-80.4871,10,poultry,77.5,300,infected
12061,FL,indian river county,27.6943,-80.6062,10,poultry,74.5,50,infected
12117,FL,seminole county,28.717,-81.2363,11,poultry,72.2,100,infected
16001,ID,ada county,43.4511,-116.2412,5,poultry,54.3,149,infected
16027,ID,canyon county,43.6251,-116.7093,5,poultry,55.4,276,infected
16047,ID,gooding county,42.971,-114.8116,4,poultry,42.3,20,infected
16047,ID,gooding county,42.971,-114.8116,9,poultry,67.2,9000,infected
16065,ID,madison county,43.7841,-111.6592,4,poultry,38.6,200,infected
17063,IL,grundy county,41.2851,-88.4185,11,poultry,42,8800,infected
18003,IN,allen county,41.0909,-85.0666,6,poultry,72,110,infected
18027,IN,daviess county,38.7024,-87.0721,12,poultry,34.2,11400,infected
18037,IN,dubois county,38.3643,-86.8798,2,poultry,34.2,91600,infected
18037,IN,dubois county,38.3643,-86.8798,3,poultry,47,16500,infected
18039,IN,elkhart county,41.5974,-85.8587,4,poultry,45.4,17700,infected
18039,IN,elkhart county,41.5974,-85.8587,9,poultry,64.4,260,infected
18055,IN,greene county,39.0363,-86.962,2,poultry,31.5,63600,infected
19017,IA,bremer county,42.7746,-92.318,4,poultry,41.5,29200,infected
19021,IA,buena vista county,42.7355,-95.1511,3,poultry,35.2,5486700,infected
19021,IA,buena vista county,42.7355,-95.1511,12,poultry,17.2,91900,infected
19021,IA,buena vista county,42.7355,-95.1511,13,poultry,19.8,27700,infected
19035,IA,cherokee county,42.7356,-95.6238,3,poultry,35.5,88000,infected
19035,IA,cherokee county,42.7356,-95.6238,12,poultry,17.6,155000,infected
19069,IA,franklin county,42.7325,-93.2625,3,poultry,35.2,250200,infected
19077,IA,guthrie county,41.6838,-94.5011,3,poultry,37.8,1460000,infected
19079,IA,hamilton county,42.3838,-93.7068,3,poultry,35.9,25800,infected
19079,IA,hamilton county,42.3838,-93.7068,4,poultry,42.3,8100,infected
19083,IA,hardin county,42.3839,-93.2404,4,poultry,42.2,46000,infected
19091,IA,humboldt county,42.7764,-94.2072,4,poultry,41.6,15300,infected
19093,IA,ida county,42.3869,-95.5135,12,poultry,18.9,90000,infected
19143,IA,osceola county,43.3786,-95.6237,3,poultry,32.8,5011700,infected
19161,IA,sac county,42.3863,-95.1054,4,poultry,43.3,37200,infected
19161,IA,sac county,42.3863,-95.1054,12,poultry,18.5,90000,infected
19173,IA,taylor county,40.7374,-94.6964,3,poultry,39.6,915900,infected
19197,IA,wright county,42.7331,-93.7351,10,poultry,48.8,1100000,infected
19197,IA,wright county,42.7331,-93.7351,11,poultry,35.2,1022800,infected
20003,KS,anderson county,38.2142,-95.2933,13,poultry,35.9,8900,infected
20041,KS,dickinson county,38.8665,-97.1527,3,poultry,44.4,250,infected
20059,KS,franklin county,38.5645,-95.286,3,poultry,45.6,260,infected
20091,KS,johnson county,38.8838,-94.8223,10,poultry,58.1,6,infected
20113,KS,mcpherson county,38.3917,-97.648,4,poultry,54.8,6900,infected
20123,KS,mitchell county,39.3933,-98.2094,13,poultry,31.1,6900,infected
20133,KS,neosho county,37.5585,-95.3068,10,poultry,59.9,2000,infected
20157,KS,republic county,39.8278,-97.6506,4,poultry,52.7,110,infected
20177,KS,shawnee county,39.0415,-95.7565,10,poultry,58,120,infected
21067,KY,fayette county,38.0423,-84.4587,10,poultry,54.8,150,infected
21075,KY,fulton county,36.554,-89.1874,2,poultry,38.2,231400,infected
21233,KY,webster county,37.5184,-87.6831,2,poultry,38.6,53300,infected
23005,ME,cumberland county,43.8465,-70.399,3,poultry,33.8,250,infected
24015,MD,cecil county,39.5712,-75.9407,3,poultry,45.7,1622800,infected
24035,MD,queen anne's county,39.0673,-76.0208,3,poultry,47.2,139300,infected
24043,MD,washington county,39.6036,-77.814,11,poultry,45.7,24600,infected
26065,MI,ingham county,42.5971,-84.3735,9,poultry,62.9,20,infected
26087,MI,lapeer county,43.0901,-83.2218,10,poultry,50.3,140,infected
26087,MI,lapeer county,43.0901,-83.2218,11,poultry,41.3,990,infected
26109,MI,menominee county,45.5801,-87.5566,4,poultry,37.2,350,infected
26121,MI,muskegon county,43.2912,-86.152,5,poultry,60.6,35100,infected
26157,MI,tuscola county,43.4641,-83.4167,10,poultry,49.9,140,infected
26165,MI,wexford county,44.3384,-85.5784,4,poultry,38.8,70,infected
27005,MN,becker county,46.9346,-95.674,4,poultry,33.4,44700,infected
27005,MN,becker county,46.9346,-95.674,9,poultry,59.7,17100,infected
27011,MN,big stone county,45.4261,-96.4109,4,poultry,37.6,49500,infected
27013,MN,blue earth county,44.0346,-94.067,4,poultry,39.9,49100,infected
27015,MN,brown county,44.2421,-94.7276,9,poultry,63.8,86700,infected
27025,MN,chisago county,45.5025,-92.9084,5,poultry,57.9,160,infected
27035,MN,crow wing county,46.4824,-94.0709,5,poultry,55.5,150,infected
27037,MN,dakota county,44.6719,-93.0654,5,poultry,59.6,54400,infected
27039,MN,dodge county,44.0226,-92.862,4,poultry,39.1,20000,infected
27039,MN,dodge county,44.0226,-92.862,12,poultry,16.8,10000,infected
27067,MN,kandiyohi county,45.1524,-95.0047,3,poultry,28.9,39500,infected
27067,MN,kandiyohi county,45.1524,-95.0047,4,poultry,37.4,239700,infected
