"fips","state","county","lat","lng","month.index","type","cases"
2013,"AK","aleutians east borough",55.3665,-161.9813,12,"wild bird",1
2013,"AK","aleutians east borough",55.3665,-161.9813,6,"wild bird",2
2016,"AK","aleutians west census area",52.798,-106.6061,11,"wild bird",4
2016,"AK","aleutians west census area",52.798,-106.6061,13,"wild bird",3
2016,"AK","aleutians west census area",52.798,-106.6061,5,"wild bird",6
2016,"AK","aleutians west census area",52.798,-106.6061,6,"wild bird",1
2020,"AK","anchorage municipality",61.1508,-149.1091,10,"wild bird",1
2020,"AK","anchorage municipality",61.1508,-149.1091,4,"captive wild bird",1
2020,"AK","anchorage municipality",61.1508,-149.1091,5,"wild bird",8
2020,"AK","anchorage municipality",61.1508,-149.1091,6,"wild bird",2
2050,"AK","bethel census area",60.9131,-159.8186,6,"wild bird",9
2050,"AK","bethel census area",60.9131,-159.8186,7,"wild bird",3
2050,"AK","bethel census area",60.9131,-159.8186,8,"non-poultry",20
2063,"AK","chugach census area",60.7228,-145.7754,6,"wild bird",1
2066,"AK","copper river census area",61.8834,-143.968,6,"wild bird",2
2090,"AK","fairbanks north star borough",64.8078,-146.5654,13,"wild bird",2
2090,"AK","fairbanks north star borough",64.8078,-146.5654,5,"wild bird",1
2100,"AK","haines borough",59.1199,-135.5,5,"wild bird",1
2110,"AK","juneau city and borough",58.4546,-134.1739,10,"wild bird",16
2110,"AK","juneau city and borough",58.4546,-134.1739,5,"wild bird",1
2122,"AK","kenai peninsula borough",60.2654,-151.5652,11,"wild bird",1
2122,"AK","kenai peninsula borough",60.2654,-151.5652,12,"wild bird",1
2122,"AK","kenai peninsula borough",60.2654,-151.5652,5,"wild bird",2
2122,"AK","kenai peninsula borough",60.2654,-151.5652,8,"wild bird",1
2158,"AK","kusilvak census area",62.155,-163.3826,6,"wild bird",3
2158,"AK","kusilvak census area",62.155,-163.3826,9,"wild bird",5
2170,"AK","matanuska-susitna borough",62.3155,-149.5728,10,"non-poultry",40
2170,"AK","matanuska-susitna borough",62.3155,-149.5728,10,"poultry",1010
2170,"AK","matanuska-susitna borough",62.3155,-149.5728,11,"non-poultry",40
2170,"AK","matanuska-susitna borough",62.3155,-149.5728,11,"wild bird",79
2170,"AK","matanuska-susitna borough",62.3155,-149.5728,4,"non-poultry",30
2170,"AK","matanuska-susitna borough",62.3155,-149.5728,5,"wild bird",1
2170,"AK","matanuska-susitna borough",62.3155,-149.5728,6,"wild bird",3
2170,"AK","matanuska-susitna borough",62.3155,-149.5728,8,"wild bird",1
2180,"AK","nome census area",64.9111,-164.0273,10,"wild bird",1
2180,"AK","nome census area",64.9111,-164.0273,7,"wild bird",1
2180,"AK","nome census area",64.9111,-164.0273,8,"wild bird",1
2185,"AK","north slope borough",69.3122,-153.4811,10,"wild bird",3
2185,"AK","north slope borough",69.3122,-153.4811,7,"wild bird",7
2185,"AK","north slope borough",69.3122,-153.4811,8,"wild bird",7
2188,"AK","northwest arctic borough",67.053,-159.721,7,"wild bird",1
2220,"AK","sitka city and borough",57.2401,-135.3152,11,"captive wild bird",3
2220,"AK","sitka city and borough",57.2401,-135.3152,11,"wild bird",2
2220,"AK","sitka city and borough",57.2401,-135.3152,12,"wild bird",3
2220,"AK","sitka city and borough",57.2401,-135.3152,13,"captive wild bird",1
2220,"AK","sitka city and borough",57.2401,-135.3152,5,"wild bird",2
2220,"AK","sitka city and borough",57.2401,-135.3152,6,"wild bird",5
2240,"AK","southeast fairbanks census area",63.8762,-143.213,10,"wild bird",2
2240,"AK","southeast fairbanks census area",63.8762,-143.213,11,"wild bird",2
2240,"AK","southeast fairbanks census area",63.8762,-143.213,13,"wild bird",2
2240,"AK","southeast fairbanks census area",63.8762,-143.213,9,"wild bird",4
2290,"AK","yukon-koyukuk census area",65.5087,-151.3896,9,"wild bird",3
1025,"AL","clarke county",31.6767,-87.8308,13,"wild bird",1
1043,"AL","cullman county",34.1319,-86.8676,12,"wild bird",1
1043,"AL","cullman county",34.1319,-86.8676,13,"wild bird",1
1051,"AL","elmore county",32.5966,-86.1491,11,"wild bird",2
1071,"AL","jackson county",34.7795,-85.9993,12,"wild bird",4
1071,"AL","jackson county",34.7795,-85.9993,13,"wild bird",1
1075,"AL","lamar county",33.7792,-88.0969,12,"wild bird",2
1079,"AL","lawrence county",34.5216,-87.311,12,"non-poultry",460
1083,"AL","limestone county",34.8101,-86.9814,13,"wild bird",13
1083,"AL","limestone county",34.8101,-86.9814,2,"wild bird",1
1093,"AL","marion county",34.1366,-87.8871,13,"wild bird",1
1101,"AL","montgomery county",32.2203,-86.2076,11,"wild bird",16
1103,"AL","morgan county",34.4535,-86.8529,13,"wild bird",7
1123,"AL","tallapoosa county",32.8624,-85.7975,12,"wild bird",1
5001,"AR","arkansas county",34.2892,-91.3742,12,"non-poultry",20
5001,"AR","arkansas county",34.2892,-91.3742,13,"wild bird",1
5005,"AR","baxter county",36.2872,-92.3369,12,"wild bird",1
5017,"AR","chicot county",33.267,-91.2937,12,"wild bird",1
5023,"AR","cleburne county",35.5382,-92.0267,12,"wild bird",1
5029,"AR","conway county",35.2624,-92.7015,12,"wild bird",1
5031,"AR","craighead county",35.8308,-90.6328,12,"wild bird",3
5031,"AR","craighead county",35.8308,-90.6328,13,"wild bird",2
