state,county,month.index,avg.temp,lat,lng,type,cases
FL,broward county,10,77.5,26.1523,-80.4871,poultry,300
FL,indian river county,10,74.5,27.6943,-80.6062,poultry,50
FL,seminole county,11,72.2,28.717,-81.2363,poultry,100
TX,lampasas county,13,52.9,31.1962,-98.2414,poultry,70
MS,lawrence county,11,56.5,31.5502,-90.107,poultry,34400
TX,erath county,4,69.3,32.2363,-98.218,poultry,1700
CA,san diego county,11,54,33.0343,-116.735,poultry,150
NC,wayne county,4,60.9,35.364,-78.004,poultry,420900
OK,sequoyah county,4,60.2,35.4953,-94.7552,poultry,13800
NC,johnston county,3,54.6,35.5178,-78.3657,poultry,32100
NC,johnston county,4,60.8,35.5178,-78.3657,poultry,28400
TN,bledsoe county,11,49.2,35.5964,-85.2051,poultry,20900
AR,madison county,10,57.7,36.011,-93.7246,poultry,56000
CA,monterey county,10,62.5,36.2171,-121.2388,poultry,15100
TN,weakley county,12,39.9,36.2983,-88.7178,poultry,129300
TN,weakley county,13,45.3,36.2983,-88.7178,poultry,267800
TN,obion county,9,70.3,36.3582,-89.1488,poultry,130
KY,fulton county,2,38.2,36.554,-89.1874,poultry,231400
CA,fresno county,8,76.5,36.7582,-119.6493,poultry,68700
CA,fresno county,9,71.5,36.7582,-119.6493,poultry,62700
CA,fresno county,11,44,36.7582,-119.6493,poultry,34700
MO,stoddard county,3,49.8,36.8556,-89.9443,poultry,294800
MO,lawrence county,3,47.7,37.1064,-93.8329,poultry,37800
MO,lawrence county,4,54.5,37.1064,-93.8329,poultry,27600
MO,jasper county,3,48.2,37.2035,-94.3406,poultry,25000
MO,jasper county,4,56.3,37.2035,-94.3406,poultry,35300
MO,webster county,11,44.6,37.2809,-92.8759,poultry,24200
CO,la plata county,4,43.9,37.2866,-107.8433,poultry,40
MO,dade county,4,55.2,37.432,-93.8503,poultry,14000
KY,webster county,2,38.6,37.5184,-87.6831,poultry,53300
KS,neosho county,10,59.9,37.5585,-95.3068,poultry,2000
CA,stanislaus county,10,67.5,37.5591,-120.9977,poultry,105900
UT,iron county,11,33,37.8592,-113.2895,poultry,3000
CO,prowers county,12,30,37.9552,-102.3934,poultry,11000
CA,tuolumne county,8,70.7,38.0276,-119.9548,poultry,260100
CA,tuolumne county,9,65.2,38.0276,-119.9548,poultry,30800
KY,fayette county,10,54.8,38.0423,-84.4587,poultry,150
NV,nye county,10,55.6,38.0424,-116.472,poultry,1600
KS,anderson county,13,35.9,38.2142,-95.2933,poultry,8900
IN,dubois county,2,34.2,38.3643,-86.8798,poultry,91600
IN,dubois county,3,47,38.3643,-86.8798,poultry,16500
KS,mcpherson county,4,54.8,38.3917,-97.648,poultry,6900
CO,montrose county,4,46,38.4022,-108.2694,poultry,58000
CA,sacramento county,8,79.5,38.4493,-121.3443,poultry,97000
MO,osage county,12,34.6,38.4604,-91.8618,poultry,19700
