state,county,month.index,avg.temp,fips,lat,lng,type,cases
NC,beaufort county,1,42.1,37013,35.494,-76.8598,wild bird,9
NC,hyde county,1,42.8,37095,35.5305,-76.2509,wild bird,7
NC,pamlico county,1,43.9,37137,35.1435,-76.7407,wild bird,38
SC,colleton county,1,46.5,45029,32.8636,-80.6669,wild bird,24
VA,henrico county,1,35.5,51087,37.538,-77.4058,wild bird,2
AL,limestone county,2,43.5,1083,34.8101,-86.9814,wild bird,1
CT,middlesex county,2,31.8,9007,41.4632,-72.5351,wild bird,20
CT,new haven county,2,31.0,9009,41.4106,-72.9321,wild bird,9
CT,new london county,2,32.4,9011,41.4867,-72.1014,wild bird,1
DE,kent county,2,38.6,10001,39.086,-75.5686,captive wild bird,1
DE,kent county,2,38.6,10001,39.086,-75.5686,wild bird,9
DE,new castle county,2,37.4,10003,39.5768,-75.6527,poultry,1046900
FL,brevard county,2,65.1,12009,28.2936,-80.7323,captive wild bird,1
FL,brevard county,2,65.1,12009,28.2936,-80.7323,wild bird,8
FL,palm beach county,2,70.4,12099,26.6476,-80.4655,wild bird,2
FL,volusia county,2,63.5,12127,29.0583,-81.1819,captive wild bird,3
GA,hart county,2,48.7,13147,34.3509,-82.9642,wild bird,2
IN,dubois county,2,34.2,18037,38.3643,-86.8798,poultry,91600
IN,greene county,2,31.5,18055,39.0363,-86.962,poultry,63600
KY,ballard county,2,37.1,21007,37.0585,-88.9994,wild bird,2
KY,breckinridge county,2,36.6,21027,37.7732,-86.4293,wild bird,4
KY,fulton county,2,38.2,21075,36.554,-89.1874,poultry,231400
KY,henderson county,2,36.3,21101,37.7958,-87.573,wild bird,4
KY,webster county,2,38.6,21233,37.5184,-87.6831,poultry,53300
ME,knox county,2,25.3,23013,44.141,-69.1686,non-poultry,130
ME,washington county,2,25.4,23029,45.0307,-67.6287,wild bird,6
MD,kent county,2,38.0,24029,39.2545,-76.0399,wild bird,1
MI,kalamazoo county,2,25.0,26077,42.2455,-85.5312,non-poultry,30
NH,grafton county,2,21.7,33009,43.9407,-71.8208,wild bird,3
NH,rockingham county,2,28.6,33015,42.9876,-71.1254,wild bird,46
NJ,cape may county,2,38.4,34009,39.1496,-74.8002,wild bird,21
NY,dutchess county,2,29.4,36027,41.7651,-73.7429,non-poultry,200
NY,suffolk county,2,34.1,36103,40.8686,-72.8448,non-poultry,8
NY,suffolk county,2,34.1,36103,40.8686,-72.8448,wild bird,1
NY,ulster county,2,27.5,36111,41.8881,-74.2586,non-poultry,70
NC,beaufort county,2,48.8,37013,35.494,-76.8598,wild bird,4
NC,bladen county,2,50.4,37017,34.6146,-78.5637,wild bird,4
NC,carteret county,2,50.3,37031,34.8357,-76.6589,wild bird,1
NC,craven county,2,49.3,37049,35.1249,-77.0939,wild bird,1
NC,currituck county,2,46.3,37053,36.4031,-76.0059,wild bird,11
NC,hyde county,2,49.0,37095,35.5305,-76.2509,wild bird,26
NC,pamlico county,2,50.0,37137,35.1435,-76.7407,wild bird,36
SC,charleston county,2,55.6,45019,32.8346,-79.9531,captive wild bird,1
VA,fauquier county,2,38.8,51061,38.7387,-77.8092,non-poultry,90
VA,virginia beach city,2,45.5,51810,36.7335,-76.0435,wild bird,2
CO,sedgwick county,3,38.5,8115,40.8759,-102.3518,wild bird,6
CT,new haven county,3,39.3,9009,41.4106,-72.9321,captive wild bird,1
CT,new london county,3,40.0,9011,41.4867,-72.1014,non-poultry,160
CT,new london county,3,40.0,9011,41.4867,-72.1014,wild bird,2
DE,kent county,3,46.8,10001,39.086,-75.5686,poultry,147800
DE,new castle county,3,45.7,10003,39.5768,-75.6527,poultry,243900
FL,brevard county,3,70.6,12009,28.2936,-80.7323,captive wild bird,2
FL,brevard county,3,70.6,12009,28.2936,-80.7323,wild bird,27
FL,charlotte county,3,71.4,12015,26.9055,-81.9123,captive wild bird,1
FL,charlotte county,3,71.4,12015,26.9055,-81.9123,wild bird,1
FL,dixie county,3,65.3,12029,29.6082,-83.1588,wild bird,3
FL,duval county,3,65.5,12031,30.3316,-81.6708,wild bird,3
FL,leon county,3,63.2,12073,30.458,-84.2779,captive wild bird,1
FL,martin county,3,73.8,12085,27.0775,-80.4315,captive wild bird,1
FL,orange county,3,70.6,12095,28.5144,-81.3235,captive wild bird,3
FL,orange county,3,70.6,12095,28.5144,-81.3235,wild bird,4
FL,polk county,3,71.4,12105,27.9489,-81.6977,wild bird,1
FL,seminole county,3,70.2,12117,28.717,-81.2363,wild bird,2
FL,volusia county,3,69.3,12127,29.0583,-81.1819,captive wild bird,2
FL,volusia county,3,69.3,12127,29.0583,-81.1819,wild bird,11
GA,camden county,3,63.9,13039,30.9306,-81.6699,wild bird,5
GA,chatham county,3,62.3,13051,32.0043,-81.1329,wild bird,1
GA,glynn county,3,63.2,13127,31.2309,-81.5407,wild bird,2
GA,liberty county,3,62.2,13179,31.8282,-81.4949,wild bird,1
IL,carroll county,3,38.1,17015,42.0688,-89.9343,non-poultry,40
IL,champaign county,3,42.5,17019,40.1401,-88.1992,wild bird,2
